DataYear,DataYear_cat,Country,Region,Gender,Age_years,Age_years_cat,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_school,Travel_time_to_school,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_internet_access,Left_Footlength_cm,Longer_foot,Index_fingerlength_mm,Ring_fingerlength_mm,Longer_finger_lefthand,Birth_month,Favorite_season,Allergies,Vegetarian,Favorite_food,Beverage,Favorite_school_subject,Sleep_hours_schoolnight,Sleep_hours_non_schoolnight,Home_occupants,Home_internet_access,Communication_with_friends,Text_messages_sent_yesterday,Text_messages_received_yesterday,Activities_hanging_out_with_friends_hours,Activities_talking_on_phone_hours,Activities_doing_homework_hours,Activities_doing_things_with_family_hours,Activities_outdoor_activities_hours,Activities_video_games_hours,Activities_social_websites_hours,Activities_texting_messaging_hours,Activities_computer_use_hours,Activities_Watching_TV_Hours,Activities_paid_work_hours,Activities_work_at_home_hours,Schoolwork_pressure,Schoolwork_pressure_reord,Planned_education_level,Favorite_music,Superpower,Preferred_status,Role_model_type,Charity_donation,
"2011","[2011]","USA","DC","Female","11","[11]","Right-Handed","160","24","160","1","Car","45","0.577","54","Swimming","1000","1000","476","","797","968","23","Right foot","70","70","Same length","July","Summer","Yes","No","Seafood","Juice","Computers and technology","8","5","5","Yes - broadband connection","In person","9","10","1","1","2","3","4","2","2","1","3","4","2","2","Some","3.Some","Graduate degree","Rap/Hip hop","Fly","Famous","Sports person","Health",
"2015","[2015]","USA","CA","Female","14","[14]","Right-Handed","157","23","157","2","Walk","15","0.459","56","None","0","50","50","1000","1000","1000","21","Right foot","70","70","Same length","May","Summer","No","No","Other","Energy drink","Physical education","7","7","6","Yes - other","Myspace, Facebook, other social networking sites, or blog","15","15","0","9","1","1","0","9","9","9","9","1","0","5","A lot","4.A lot","High school","Other","Invisibility","Rich","","Health",
"2014","[2014]","USA","WI","Female","13","[13]","Right-Handed","165","26","168","1","Bus","12","0.468","37","Basketball","900","900","1000","1000","1000","1000","25","Right foot","84","82","Index finger","February","Summer","Yes","No","Meat","Water","Physical education","10","9","5","Yes - broadband connection","In person","15","15","40","1","2","20","14","1","14","10","10","4","7","7","Very little","2.Very little","Graduate degree","Country","Telepathy","Happy","Relative","Health",
"2013","[2013]","USA","TX","Female","11","[11]","Right-Handed","140","15","130","1","Car","4","0.327","36","Dancing","1000","1000","1000","1000","64","412","15","Same length","60","70","Ring finger","January","Fall","Yes","No","Fruit","Juice","Science","8","10","4","Yes - other","Cell phone","20","22","40","15","3","6","8","0","0","0","0","20","5","10","Very little","2.Very little","Graduate degree","Pop","Invisibility","Famous","Other","Education/Youth development",
"2011","[2011]","USA","HI","Female","14","[14]","Right-Handed","176","23","167","1","Car","60","0.514","46","Running/Jogging","642","791","711","","166","118","24","Left foot","80","70","Index finger","August","Winter","No","No","Meat","Water","Art","7","9.5","6","Yes - other","In person","20","25","5","0","18","2","10","1","1","5","1","1","3","3","A lot","4.A lot","Other","Punk rock","Telepathy","Happy","Other","Wildlife, animals",
"2013","[2013]","USA","WI","Female","13","[13]","Right-Handed","160","23","160","2","Bus","15","0.219","26","Skateboarding/Rollerblading","1000","1000","1000","1000","2","2","23","Same length","75","80","Ring finger","June","Summer","No","Yes","Fruit","Water","Science","7","7","3","Yes - other","Text messaging","180","90","5","1","3","2","10","1","3","5","3","1","3","1","A lot","4.A lot","Graduate degree","Rap/Hip hop","Telepathy","Happy","Other","Wildlife, animals",
"2013","[2013]","USA","NC","Female","11","[11]","Left-Handed","140","20","145","1","Car","15","0.599","40","Other","100","0","1000","1000","500","1000","21","Left foot","60","60","Same length","November","Spring","Yes","No","Meat","Tea","Mathematics and statistics","9","6","4","Yes - other","Text messaging","1","1","5","1","8","6","0","0","0","3","2","10","0","1","A lot","4.A lot","Graduate degree","Other","Telepathy","Happy","Doctor or nurse","International aid",
"2013","[2013]","USA","NC","Female","12","[12]","Right-Handed","159","24","160","1","Car","20","0.353","42","Dancing","6","7","5","4","2","2","24","Same length","76.2","101.6","Ring finger","October","Fall","Yes","No","Meat","Tea","Science","8","7","2","No internet connection","In person","0","0","1","1","5","6","13","1","1","0","40","6","0","1","Some","3.Some","Graduate degree","Country","Freeze time","Happy","Friend","Health",
"2013","[2013]","USA","NE","Female","14","[14]","Right-Handed","158","27","165","1","Car","2","0.481","31","Dancing","400","600","700","500","300","200","27","Same length","100","80","Index finger","March","Fall","Yes","No","Pizza/Pasta","Water","Art","5","10","5","Yes - broadband connection","Text messaging","5","7","5","0","8","10","2","0","5","2","8","3","0","6","Some","3.Some","Graduate degree","Country","Telepathy","Happy","Relative","Environment",
"2015","[2015]","USA","CA","Female","13","[13]","Right-Handed","149","21","149","2","Car","15","0.466","46","Soccer","497","337","561","471","332","1000","21","Same length","","","","June","Summer","No","No","No favorite","Soft drink (caffeinated)","Art","8","6","4","Yes - dial-up connection","Internet chat or instant messaging","50","29","3","2","2","4","4","1","4","3","2","3","1","1","A lot","4.A lot","Graduate degree","Pop","Telepathy","Happy","Coach or club leader","Wildlife, animals",
"2013","[2013]","USA","WI","Female","14","[14]","Right-Handed","157","18","153","1","Bus","30","0.583","32","Gymnastics","950","900","900","900","500","997","20","Left foot","70","60","Index finger","January","Summer","No","No","Desserts","Soft drink (caffeinated)","Physical education","6","","3","Yes - other","Text messaging","300","310","6","0","3","0","9","0","24","48","20","10","0","0","Very little","2.Very little","Undergraduate degree","Rap/Hip hop","Telepathy","Rich","Sports person","Wildlife, animals",
"2015","[2015]","USA","CA","Female","13","[13]","Right-Handed","140","20.32","140","2","Car","5","0.453","57","Soccer","878","934","745","678","888","1000","20","Same length","60","60","Same length","August","Summer","Yes","No","Salads","Water","Other","11","11","5","Yes - other","Text messaging","20","15","6","0","2","2","1","0","1","1","1","0","0","1","A lot","4.A lot","Graduate degree","Other","Invisibility","Happy","Relative","Health",
"2014","[2014]","USA","OH","Female","11","[11]","Ambidextrous","150","23","148","2","Bus","10","0.411","40","Dancing","600","999","400","0","500","1000","23","Same length","70","70","Same length","April","Spring","No","No","Other","Water","Music","9","9","5","Yes - other","In person","10","8","50","2","20","10","0","5","0","5","10","30","0","0","Very little","2.Very little","Graduate degree","Pop","Fly","Happy","Teacher","Health",
"2011","[2011]","USA","GA","Female","11","[11]","Right-Handed","150","23","152","1","Bus","45","0.241","43","Swimming","500","100","990","","2","0","23","Same length","80","80","Same length","April","Fall","No","No","Salads","Water","Music","9","10","4","Yes - dial-up connection","Text messaging","2","1","12","2","5","25","15","2","0","2","0","0","0","10","Some","3.Some","Graduate degree","Gospel","Fly","Healthy","Relative","Health",
"2012","[2012]","USA","KY","Female","12","[12]","Right-Handed","158","21","155","2","Car","5","0.321","40","Dancing","1000","1000","1000","1000","1","1","20","Right foot","60","70","Ring finger","November","Spring","No","No","No favorite","Tea","Physical education","10","10","3","Yes - broadband connection","In person","40","45","6","3","2","3","3","3","2","2","2","8","0","2","Some","3.Some","Graduate degree","Rap/Hip hop","Telepathy","Happy","Other","Wildlife, animals",
"2015","[2015]","USA","FL","Female","12","[12]","Right-Handed","163","9.5","165","1","Car","25","0.751","45","Soccer","400","350","500","500","550","900","10","Left foot","","","","August","Fall","No","No","Desserts","Water","History","6","7","7","Yes - broadband connection","Text messaging","62","65","50","0","4","19","12","2","30","15","50","40","0","2","Some","3.Some","Graduate degree","Pop","Telepathy","Happy","Coach or club leader","Wildlife, animals",
